
year	month	numofflights	mindepdelay	maxdepdelay	avgdepdelay	stddepdelay	depdelaygreater30min	depdelaygreater1h	maxarrdelay	avgarrdelay	stdarrdelay	arrdelaygreater30min	arridelaygrater1hr
2016    1       445827  0       1663    10.774681481003974      35.7802354752541        N       N               992.00      10.556042261907509      35.235539406645685      N       N
2016    10      472626  0       2149    8.647734700416533       32.09480741787593       N       N               996.00      8.518909657187596       31.496942051440143      N       N
2016    11      450938  0       1345    8.488207694018234       31.702091176762917      N       N               990.00      8.23887140212648        31.061609395899275      N       N
2016    12      460949  0       2040    15.762881235646498      46.5023260035607        N       N               999.00      15.876093748963468      46.60786376232343       N       N
2016    2       423889  0       1651    10.694337144993243      37.561601716323636      N       N               993.00      10.519116936675823      37.0023127714911        N       N
2016    3       479122  0       1515    11.258244224144288      36.0658408668746        N       N               999.00      11.354912251788559      35.73356352066562       N       N
2016    4       461630  0       1515    9.442545789867012       32.866030905548094      N       N               993.00      9.439514168976707       32.59375226206334       N       N
2016    5       479358  0       1558    10.33872939006111       35.06052044692692       N       N               999.00      10.35121630119096       34.7715842350442        N       N
2016    6       487637  0       1484    14.33848772699316       41.979146926090856      N       N               998.00      14.415993645459913      41.736267802550245      N       N
2016    7       502457  0       1573    17.642513173435546      48.743336684614206      N       N               999.00      17.537329142219633      48.326520518020786      N       N
2016    8       498347  0       1964    15.323382700132788      45.44131399444531       N       N               992.00      15.375486004102333      45.00187342730257       N       N
2016    9       454878  0       1334    8.886207710238638       32.57690598548004       N       N               99.00       9.08733245241494        32.241046595591165      N       N

